,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,90.0,2014.0,3.35,5.59,27000.0,2.0,0.0,1.0,0.0
1,93.0,2013.0,4.75,9.54,43000.0,1.0,0.0,1.0,0.0
2,68.0,2017.0,7.25,9.85,6900.0,2.0,0.0,1.0,0.0
3,96.0,2011.0,2.85,4.15,5200.0,2.0,0.0,1.0,0.0
4,92.0,2014.0,4.6,6.87,42450.0,1.0,0.0,1.0,0.0
5,95.0,2018.0,9.25,9.83,2071.0,1.0,0.0,1.0,0.0
6,68.0,2015.0,6.75,8.12,18796.0,2.0,0.0,1.0,0.0
7,91.0,2015.0,6.5,8.61,33429.0,1.0,0.0,1.0,0.0
8,68.0,2016.0,8.75,8.89,20273.0,1.0,0.0,1.0,0.0
9,68.0,2015.0,7.45,8.92,42367.0,1.0,0.0,1.0,0.0
10,62.0,2017.0,2.85,3.6,2135.0,2.0,0.0,1.0,0.0
11,68.0,2015.0,6.85,10.38,51000.0,1.0,0.0,1.0,0.0
12,68.0,2015.0,7.5,9.94,15000.0,2.0,0.0,0.0,0.0
13,76.0,2015.0,6.1,7.71,26000.0,2.0,0.0,1.0,0.0
14,73.0,2009.0,2.25,7.21,77427.0,2.0,0.0,1.0,0.0
15,76.0,2016.0,7.75,10.79,43000.0,1.0,0.0,1.0,0.0
16,76.0,2015.0,7.25,10.79,41678.0,1.0,0.0,1.0,0.0
17,76.0,2016.0,7.75,10.79,43000.0,1.0,0.0,1.0,0.0
18,96.0,2015.0,3.25,5.09,35500.0,0.0,0.0,1.0,0.0
19,93.0,2010.0,2.65,7.98,41442.0,2.0,0.0,1.0,0.0
20,63.0,2016.0,2.85,3.95,25000.0,2.0,0.0,1.0,0.0
21,85.0,2017.0,4.9,5.71,2400.0,2.0,0.0,1.0,0.0
22,93.0,2011.0,4.4,8.01,50000.0,2.0,0.0,0.0,0.0
23,63.0,2014.0,2.5,3.46,45280.0,2.0,0.0,1.0,0.0
24,96.0,2013.0,2.9,4.41,56879.0,2.0,0.0,1.0,0.0
25,92.0,2011.0,3.0,4.99,20000.0,2.0,0.0,1.0,0.0
26,92.0,2013.0,4.15,5.87,55138.0,2.0,0.0,1.0,0.0
27,92.0,2017.0,6.0,6.49,16200.0,2.0,1.0,1.0,0.0
28,63.0,2010.0,1.95,3.95,44542.0,2.0,0.0,1.0,0.0
29,68.0,2015.0,7.45,10.38,45000.0,1.0,0.0,1.0,0.0
30,90.0,2012.0,3.1,5.98,51439.0,1.0,0.0,1.0,0.0
31,90.0,2011.0,2.35,4.89,54200.0,2.0,0.0,1.0,0.0
32,92.0,2014.0,4.95,7.49,39000.0,1.0,0.0,1.0,0.0
33,76.0,2014.0,6.0,9.95,45000.0,1.0,0.0,1.0,0.0
34,73.0,2014.0,5.5,8.06,45000.0,1.0,0.0,1.0,0.0
35,93.0,2011.0,2.95,7.74,49998.0,0.0,0.0,1.0,0.0
36,73.0,2015.0,4.65,7.2,48767.0,2.0,0.0,1.0,0.0
37,0.0,2003.0,0.35,2.28,127000.0,2.0,1.0,1.0,0.0
38,63.0,2016.0,3.0,3.76,10079.0,2.0,0.0,1.0,0.0
39,93.0,2003.0,2.25,7.98,62000.0,2.0,0.0,1.0,0.0
40,65.0,2016.0,5.85,7.87,24524.0,2.0,0.0,0.0,0.0
41,63.0,2014.0,2.55,3.98,46706.0,2.0,0.0,1.0,0.0
42,93.0,2008.0,1.95,7.15,58000.0,2.0,0.0,1.0,0.0
43,73.0,2014.0,5.5,8.06,45780.0,1.0,0.0,1.0,0.0
44,89.0,2012.0,1.25,2.69,50000.0,2.0,0.0,1.0,0.0
45,68.0,2014.0,7.5,12.04,15000.0,2.0,0.0,0.0,0.0
46,90.0,2013.0,2.65,4.89,64532.0,2.0,0.0,1.0,0.0
47,96.0,2006.0,1.05,4.15,65000.0,2.0,0.0,1.0,0.0
48,76.0,2015.0,5.8,7.71,25870.0,2.0,0.0,1.0,0.0
49,68.0,2017.0,7.75,9.29,37000.0,2.0,0.0,0.0,0.0
50,81.0,2012.0,14.9,30.61,104707.0,1.0,0.0,0.0,0.0
51,81.0,2015.0,23.0,30.61,40000.0,1.0,0.0,0.0,0.0
52,86.0,2017.0,18.0,19.77,15000.0,1.0,0.0,0.0,0.0
53,81.0,2013.0,16.0,30.61,135000.0,1.0,1.0,0.0,0.0
54,86.0,2005.0,2.75,10.21,90000.0,2.0,1.0,1.0,0.0
